City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Filipe,CV,14.90,-24.50,73.78,80,13,7.94,few clouds
1,Albany,US,42.60,-73.97,84.45,42,30,6.46,scattered clouds
2,Kavieng,PG,-2.57,150.80,81.68,78,96,15.7,light rain
3,Carnarvon,AU,-24.87,113.63,59.72,46,0,18.97,clear sky
4,Harlingen,US,26.19,-97.70,95.09,83,71,14.41,broken clouds
5,Cayenne,GF,4.93,-52.33,81.09,1,0,1.14,clear sky
6,Bluff,NZ,-46.60,168.33,42.8,75,100,29.1,overcast clouds
7,Atuona,PF,-9.80,-139.03,76.71,69,8,15.41,clear sky
8,Laguna,US,38.42,-121.42,91.31,38,0,10.36,clear sky
9,Kyra,RU,49.58,111.98,62.47,82,89,3.0,overcast clouds
10,Tabou,CI,4.42,-7.35,77.16,78,95,8.84,overcast clouds
11,Airai,TL,-8.93,125.41,59.02,95,91,1.14,overcast clouds
12,Poum,NC,-20.23,164.02,73.4,68,9,12.86,clear sky
13,Bay Roberts,CA,47.60,-53.26,63.66,89,100,5.1,light rain
14,Te Anau,NZ,-45.42,167.72,40.26,88,82,5.79,broken clouds
15,Puerto Ayora,EC,-0.74,-90.35,78.76,83,57,8.01,broken clouds
16,Palmer,US,42.16,-72.33,83.55,41,20,0.0,few clouds
17,Mar Del Plata,AR,-38.00,-57.56,48.09,65,0,3.44,clear sky
18,Ushibuka,JP,32.19,130.02,77.54,86,4,3.8,clear sky
19,Sonari,IN,27.07,95.03,75.13,98,100,2.55,moderate rain
20,Tevaitoa,PF,-16.78,-151.50,78.96,74,20,23.69,light rain
21,Manokwari,ID,-0.87,134.08,79.45,75,31,5.57,scattered clouds
22,Alugan,PH,12.22,125.48,81.19,82,100,13.18,light rain
23,Hithadhoo,MV,-0.60,73.08,81.03,77,99,6.85,moderate rain
24,Alamosa,US,37.47,-105.87,72.82,39,71,15.7,broken clouds
25,Acapulco,MX,16.86,-99.89,85.98,70,25,10.96,scattered clouds
26,Codrington,AU,-38.27,141.97,50.41,68,100,10.87,overcast clouds
27,Jamestown,US,42.10,-79.24,83.79,45,75,9.22,broken clouds
28,Torbay,CA,47.67,-52.73,62.89,92,100,8.05,mist
29,Yerbogachen,RU,61.28,108.01,62.89,68,7,3.51,clear sky
30,Ribeira Grande,PT,38.52,-28.70,68.61,92,96,8.86,overcast clouds
31,Mataura,NZ,-46.19,168.86,42.48,86,95,9.04,light rain
