City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Albany,US,84.45,scattered clouds,42.6,-73.97,
2,Kavieng,PG,81.68,light rain,-2.57,150.8,Nusa Island Retreat
5,Cayenne,GF,81.09,clear sky,4.93,-52.33,Hôtel Le Dronmi
7,Atuona,PF,76.71,clear sky,-9.8,-139.03,Villa Enata
10,Tabou,CI,77.16,overcast clouds,4.42,-7.35,hotêl doufoulougou
15,Puerto Ayora,EC,78.76,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
16,Palmer,US,83.55,few clouds,42.16,-72.33,Wedgewood Motel
18,Ushibuka,JP,77.54,clear sky,32.19,130.02,Hotei
19,Sonari,IN,75.13,moderate rain,27.07,95.03,Hotel Green View
20,Tevaitoa,PF,78.96,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
21,Manokwari,ID,79.45,scattered clouds,-0.87,134.08,Swiss Belhotel Manokwari
22,Alugan,PH,81.19,light rain,12.22,125.48,JM Lodge
23,Hithadhoo,MV,81.03,moderate rain,-0.6,73.08,Scoop Guest House
27,Jamestown,US,83.79,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
35,Bathsheba,BB,84.81,broken clouds,13.22,-59.52,Atlantis Hotel
39,Butaritari,KI,82.67,broken clouds,3.07,172.79,Isles Sunset Lodge
41,Hasaki,JP,79.29,clear sky,35.73,140.83,Inubosaki Kanko Hotel
44,Georgetown,MY,80.53,few clouds,5.41,100.34,Cititel Penang
50,Tortoli,IT,82.22,clear sky,39.93,9.66,Hotel La Bitta
54,Khachrod,IN,78.6,moderate rain,23.42,75.28,Dhakad Dharmshala
57,Sao Raimundo Nonato,BR,77.11,clear sky,-9.02,-42.7,Real Hotel
59,Aripuana,BR,79.45,scattered clouds,-9.17,-60.63,
60,Las Choapas,MX,84.81,overcast clouds,17.93,-94.08,Hotel Jysmak
63,Inirida,CO,78.6,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
64,Thinadhoo,MV,82.6,overcast clouds,0.53,72.93,
67,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
69,Faanui,PF,79.03,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Kapaa,US,82.72,broken clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
74,Avarua,CK,77.05,moderate rain,-21.21,-159.78,Paradise Inn
77,Lorengau,PG,81.77,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
85,Baleshwar,IN,83.77,overcast clouds,21.49,86.93,Banjara Hotels Pvt Ltd
102,Tubuala,PA,81.19,light rain,9.52,-79.03,
103,Ibra,OM,83.97,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
105,Santa Cruz,BO,80.06,few clouds,-17.8,-63.17,Hotel California
109,Victoria,HK,81.32,moderate rain,22.29,114.16,Mini Central
116,Kieta,PG,80.64,light rain,-6.22,155.63,Uruna Bay Retreat
119,Makakilo City,US,82.72,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
121,Racale,IT,76.87,clear sky,39.96,18.09,Albergo Vittoria Taviano
129,Katsuura,JP,78.42,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
134,Kitakyushu,JP,79.34,broken clouds,33.83,130.83,
136,Dingle,PH,76.84,overcast clouds,11.0,122.67,SEGAYA PROPERTY
137,Half Moon Bay,US,77.81,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
142,Naze,JP,77.92,light rain,28.37,129.48,Shishime Hotel
143,Korla,CN,82.74,scattered clouds,41.76,86.15,Gulisitan Hotel
147,Samarai,PG,81.57,overcast clouds,-10.62,150.67,Nuli Sapi
148,Hambantota,LK,77.34,few clouds,6.12,81.12,Bungalow 63
163,Salalah,OM,80.44,overcast clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
168,Yarmouth,US,79.27,clear sky,41.71,-70.23,The Inn At Cape Cod
171,Dicabisagan,PH,80.33,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
175,Iralaya,HN,82.85,overcast clouds,15.0,-83.23,Iglesia morava renovada
180,Alofi,NU,80.49,broken clouds,-19.06,-169.92,Taloa Heights
187,Acarau,BR,78.98,clear sky,-2.89,-40.12,castelo pizzaria
188,Wahiawa,US,80.92,few clouds,21.5,-158.02,The Inn At Schofield
190,Saint-Georges,GD,83.88,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
196,Ambon,ID,76.23,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
199,Shimoda,JP,82.11,clear sky,34.67,138.95,Shimoda Tokyu Hotel
203,Merauke,ID,77.45,scattered clouds,-8.47,140.33,
206,Varadero,CU,84.45,few clouds,23.15,-81.25,Hotel Tuxpan Varadero
216,Cabra,ES,75.65,broken clouds,37.47,-4.44,MS Fuente Las Piedras
218,Chardara,KZ,75.25,clear sky,41.25,67.97,Жанаргул
221,Kahta,TR,81.77,clear sky,37.79,38.62,KommageneİZ Hotel
224,Bubaque,GW,81.39,scattered clouds,11.28,-15.83,"Casa Dora, Bubaque"
228,Muroto,JP,79.02,clear sky,33.28,134.15,Oota Ryokan
229,Rosetta,EG,75.11,clear sky,31.4,30.42,Green Valley
231,Wilmington,US,84.11,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
232,Pontes E Lacerda,BR,76.77,scattered clouds,-15.23,-59.34,Hotel Bressan
236,Kitob,UZ,77.77,clear sky,39.08,66.83,KESH HOTEL
