City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Filipe,CV,14.8961,-24.4956,73.78,80,13,7.94,few clouds
1,Albany,US,42.6001,-73.9662,84.45,42,30,6.46,scattered clouds
2,Kavieng,PG,-2.5744,150.7967,81.68,78,96,15.7,light rain
3,Carnarvon,AU,-24.8667,113.6333,59.72,46,0,18.97,clear sky
4,Harlingen,US,26.1906,-97.6961,95.09,83,71,14.41,broken clouds
5,Cayenne,GF,4.9333,-52.3333,81.09,1,0,1.14,clear sky
6,Bluff,NZ,-46.6,168.3333,42.8,75,100,29.1,overcast clouds
7,Atuona,PF,-9.8,-139.0333,76.71,69,8,15.41,clear sky
8,Laguna,US,38.421,-121.4238,91.31,38,0,10.36,clear sky
9,Kyra,RU,49.5776,111.9753,62.47,82,89,3.0,overcast clouds
10,Tabou,CI,4.423,-7.3528,77.16,78,95,8.84,overcast clouds
11,Airai,TL,-8.9266,125.4092,59.02,95,91,1.14,overcast clouds
12,Poum,NC,-20.2333,164.0167,73.4,68,9,12.86,clear sky
13,Bay Roberts,CA,47.5999,-53.2648,63.66,89,100,5.1,light rain
14,Te Anau,NZ,-45.4167,167.7167,40.26,88,82,5.79,broken clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83,57,8.01,broken clouds
16,Palmer,US,42.1584,-72.3287,83.55,41,20,0.0,few clouds
17,Mar Del Plata,AR,-38.0023,-57.5575,48.09,65,0,3.44,clear sky
18,Ushibuka,JP,32.1906,130.0228,77.54,86,4,3.8,clear sky
19,Sonari,IN,27.0667,95.0333,75.13,98,100,2.55,moderate rain
20,Tevaitoa,PF,-16.7833,-151.5,78.96,74,20,23.69,light rain
21,Manokwari,ID,-0.8667,134.0833,79.45,75,31,5.57,scattered clouds
22,Alugan,PH,12.2188,125.4808,81.19,82,100,13.18,light rain
23,Hithadhoo,MV,-0.6,73.0833,81.03,77,99,6.85,moderate rain
24,Alamosa,US,37.4695,-105.87,72.82,39,71,15.7,broken clouds
25,Acapulco,MX,16.8634,-99.8901,85.98,70,25,10.96,scattered clouds
26,Codrington,AU,-38.2667,141.9667,50.41,68,100,10.87,overcast clouds
27,Jamestown,US,42.097,-79.2353,83.79,45,75,9.22,broken clouds
28,Torbay,CA,47.6666,-52.7314,62.89,92,100,8.05,mist
29,Yerbogachen,RU,61.2767,108.0108,62.89,68,7,3.51,clear sky
30,Ribeira Grande,PT,38.5167,-28.7,68.61,92,96,8.86,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,42.48,86,95,9.04,light rain
32,Busselton,AU,-33.65,115.3333,47.61,85,0,5.84,clear sky
33,Severo-Kurilsk,RU,50.6789,156.125,53.47,75,31,15.43,scattered clouds
34,Abu Samrah,SY,35.3029,37.1841,73.99,59,0,7.76,clear sky
35,Bathsheba,BB,13.2167,-59.5167,84.81,70,75,20.71,broken clouds
36,Gold Coast,AU,-28.0,153.4333,59.23,95,100,5.75,moderate rain
37,Aksarka,RU,66.5606,67.7975,47.59,72,100,8.75,overcast clouds
38,Hobart,AU,-42.8794,147.3294,39.06,90,20,8.05,few clouds
39,Butaritari,KI,3.0707,172.7902,82.67,76,76,15.32,broken clouds
40,Cape Town,ZA,-33.9258,18.4232,69.39,38,0,8.05,clear sky
41,Hasaki,JP,35.7333,140.8333,79.29,77,0,5.12,clear sky
42,Hilo,US,19.7297,-155.09,86.29,73,75,12.66,broken clouds
43,Hermanus,ZA,-34.4187,19.2345,60.76,53,0,8.72,clear sky
44,Georgetown,MY,5.4112,100.3354,80.53,95,20,1.14,few clouds
45,Olafsvik,IS,64.8945,-23.7142,50.92,89,100,3.11,overcast clouds
46,Rikitea,PF,-23.1203,-134.9692,68.04,85,100,12.93,heavy intensity rain
47,Khatanga,RU,71.9667,102.5,49.95,50,82,6.71,broken clouds
48,Dikson,RU,73.5069,80.5464,32.72,98,100,0.85,overcast clouds
49,Kodiak,US,57.79,-152.4072,60.31,72,100,14.97,overcast clouds
50,Tortoli,IT,39.9256,9.6572,82.22,89,0,8.05,clear sky
51,Chimbote,PE,-9.0853,-78.5783,64.49,79,12,10.42,few clouds
52,Ushuaia,AR,-54.8,-68.3,31.66,74,0,4.61,clear sky
53,Chokurdakh,RU,70.6333,147.9167,52.65,41,20,7.11,few clouds
54,Khachrod,IN,23.4167,75.2833,78.6,80,100,9.13,moderate rain
55,Baruun-Urt,MN,46.6806,113.2792,67.86,63,78,5.3,broken clouds
56,Broome,US,42.2506,-75.833,87.19,49,0,8.05,clear sky
57,Sao Raimundo Nonato,BR,-9.0153,-42.6994,77.11,38,6,4.21,clear sky
58,Mount Gambier,AU,-37.8333,140.7667,49.17,70,100,6.29,overcast clouds
59,Aripuana,BR,-9.1667,-60.6333,79.45,53,41,1.1,scattered clouds
60,Las Choapas,MX,17.9333,-94.0833,84.81,78,90,9.89,overcast clouds
61,Coquimbo,CL,-29.9533,-71.3436,55.13,87,75,10.36,broken clouds
62,Hailar,CN,49.2,119.7,67.8,67,11,4.94,few clouds
63,Inirida,CO,3.8653,-67.9239,78.6,91,33,1.72,light rain
64,Thinadhoo,MV,0.5333,72.9333,82.6,70,96,4.34,overcast clouds
65,Yellowknife,CA,62.456,-114.3525,63.12,34,75,9.22,broken clouds
66,Bhinmal,IN,25.0,72.25,86.02,73,100,14.92,overcast clouds
67,Vaini,TO,-21.2,-175.2,75.36,88,75,9.22,broken clouds
68,Bungu,TZ,-7.6337,39.0582,66.97,93,43,3.94,light rain
69,Faanui,PF,-16.4833,-151.75,79.03,74,25,22.03,light rain
70,Saint-Francois,FR,46.4154,3.9054,55.42,99,100,3.44,overcast clouds
71,Jumla,NP,29.2747,82.1838,63.45,97,100,2.15,light rain
72,Kostrzyn,PL,52.3985,17.2281,73.81,77,12,1.01,few clouds
73,Kapaa,US,22.0752,-159.319,82.72,71,75,17.27,broken clouds
74,Avarua,CK,-21.2078,-159.775,77.05,88,75,14.97,moderate rain
75,Tessalit,ML,20.1986,1.0114,94.03,20,52,11.54,broken clouds
76,Thompson,CA,55.7435,-97.8558,50.16,66,75,16.11,light intensity shower rain
77,Lorengau,PG,-2.0226,147.2712,81.77,79,76,17.16,broken clouds
78,Leningradskiy,RU,69.3833,178.4167,43.2,79,49,5.23,scattered clouds
79,Villa Carlos Paz,AR,-31.4241,-64.4978,56.39,24,3,5.01,clear sky
80,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,4.61,clear sky
81,Upernavik,GL,72.7868,-56.1549,38.95,92,100,4.61,overcast clouds
82,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,84,41,3.15,scattered clouds
83,Port Alfred,ZA,-33.5906,26.891,63.1,44,0,10.33,clear sky
84,Port Elizabeth,ZA,-33.918,25.5701,52.09,76,0,3.44,clear sky
85,Baleshwar,IN,21.4942,86.9317,83.77,80,100,6.89,overcast clouds
86,Souillac,MU,-20.5167,57.5167,68.38,88,75,5.75,light rain
87,Arlit,NE,18.7369,7.3853,93.16,9,12,9.93,few clouds
88,Emmett,US,43.8735,-116.4993,94.55,17,0,1.99,clear sky
89,Quatre Cocos,MU,-20.2078,57.7625,68.11,74,84,17.07,light rain
90,Fortuna,US,40.5982,-124.1573,66.85,84,100,0.0,overcast clouds
91,Rocha,UY,-34.4833,-54.3333,44.44,84,34,3.67,scattered clouds
92,Maniitsoq,GL,65.4167,-52.9,43.32,83,100,14.94,overcast clouds
93,Geraldton,AU,-28.7667,114.6,54.01,62,0,20.71,clear sky
94,Jiangyou,CN,31.7667,104.7167,72.82,76,60,4.36,broken clouds
95,Tiksi,RU,71.6872,128.8694,38.86,70,31,4.56,scattered clouds
96,Saskylakh,RU,71.9167,114.0833,47.68,57,45,9.01,scattered clouds
97,Saint George,US,37.1041,-113.5841,103.62,15,0,11.01,clear sky
98,Lebu,CL,-37.6167,-73.65,47.01,88,100,24.4,moderate rain
99,Villanueva De La Serena,ES,38.9766,-5.7974,71.17,26,3,5.79,clear sky
100,Gladstone,AU,-23.85,151.25,64.33,88,100,5.75,overcast clouds
101,Manicore,BR,-5.8092,-61.3003,89.55,51,0,2.3,clear sky
102,Tubuala,PA,9.5167,-79.0333,81.19,83,99,10.76,light rain
103,Ibra,OM,22.6906,58.5334,83.97,65,100,4.09,overcast clouds
104,Cherskiy,RU,68.75,161.3,55.83,44,38,6.73,scattered clouds
105,Santa Cruz,BO,-17.8,-63.1667,80.06,53,20,17.27,few clouds
106,Goure,NE,13.9835,10.2704,90.73,35,63,3.74,broken clouds
107,Pochutla,MX,15.7432,-96.4661,89.82,63,91,5.41,overcast clouds
108,Qaanaaq,GL,77.484,-69.3632,40.41,70,100,4.36,overcast clouds
109,Victoria,HK,22.2855,114.1577,81.32,89,100,8.99,moderate rain
110,Tasiilaq,GL,65.6145,-37.6368,38.97,86,88,2.62,overcast clouds
111,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,88,75,19.57,broken clouds
112,Cidreira,BR,-30.1811,-50.2056,55.8,77,0,5.88,clear sky
113,Lashio,MM,22.9333,97.75,68.95,100,100,0.76,light rain
114,Batagay-Alyta,RU,67.8006,130.4114,58.26,57,98,6.8,overcast clouds
115,Dunedin,NZ,-45.8742,170.5036,46.8,44,36,3.0,scattered clouds
116,Kieta,PG,-6.2167,155.6333,80.64,84,38,6.42,light rain
117,Vila Velha,BR,-20.3297,-40.2925,71.94,84,40,10.36,scattered clouds
118,Sawakin,SD,19.1059,37.3321,87.76,45,1,8.3,clear sky
119,Makakilo City,US,21.3469,-158.0858,82.72,58,20,20.71,few clouds
120,Grindavik,IS,63.8424,-22.4338,55.35,93,100,6.91,light rain
121,Racale,IT,39.9631,18.0938,76.87,71,0,6.91,clear sky
122,Bafra,TR,41.5678,35.9069,66.24,87,51,4.72,broken clouds
123,Shetpe,KZ,44.1667,52.1167,65.1,45,6,9.19,clear sky
124,Castro,BR,-24.7911,-50.0119,51.01,65,0,2.89,clear sky
125,Arman,RU,59.7,150.1667,54.5,90,100,4.18,overcast clouds
126,North Bend,US,43.4065,-124.2243,73.24,83,0,14.97,clear sky
127,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,81,1,9.84,clear sky
128,Rio Grande,BR,-32.035,-52.0986,59.11,85,56,9.53,broken clouds
129,Katsuura,JP,35.1333,140.3,78.42,84,0,9.57,clear sky
130,Mocuba,MZ,-16.8392,36.9856,62.87,98,59,3.49,broken clouds
131,Ferme-Neuve,CA,46.7001,-75.4493,70.92,51,99,10.94,overcast clouds
132,Leshan,CN,29.5623,103.7639,73.02,74,100,2.75,overcast clouds
133,Chulman,RU,56.8479,124.9104,68.76,81,84,5.64,broken clouds
134,Kitakyushu,JP,33.8333,130.8333,79.34,87,75,8.05,broken clouds
135,Ixtlan Del Rio,MX,21.0333,-104.3667,88.3,39,68,7.29,broken clouds
136,Dingle,PH,10.9995,122.6711,76.84,88,100,7.7,overcast clouds
137,Half Moon Bay,US,37.4636,-122.4286,77.81,72,100,17.27,mist
138,Bosobolo,CD,4.1833,19.9,70.36,95,100,0.45,light rain
139,The Valley,AI,18.217,-63.0578,85.86,70,40,16.11,scattered clouds
140,Berdigestyakh,RU,62.0989,126.6992,62.78,68,96,2.68,overcast clouds
141,Bandiagara,ML,14.3501,-3.6104,91.13,34,85,8.57,overcast clouds
142,Naze,JP,28.3667,129.4833,77.92,84,59,15.48,light rain
143,Korla,CN,41.7597,86.1469,82.74,26,27,3.36,scattered clouds
144,Muros,ES,42.7762,-9.0603,59.09,87,3,5.79,clear sky
145,Chuy,UY,-33.6971,-53.4616,49.03,82,87,7.72,overcast clouds
146,Texarkana,US,33.4251,-94.0477,93.42,46,0,0.0,clear sky
147,Samarai,PG,-10.6167,150.6667,81.57,83,97,16.22,overcast clouds
148,Hambantota,LK,6.1241,81.1185,77.34,83,20,4.61,few clouds
149,Bredasdorp,ZA,-34.5322,20.0403,56.16,46,0,4.88,clear sky
150,Basoko,CD,1.2391,23.616,72.39,87,55,3.47,broken clouds
151,San Patricio,US,28.017,-97.5169,95.16,52,56,16.78,broken clouds
152,Jalu,LY,29.0331,21.5482,89.22,25,0,7.29,clear sky
153,Haines Junction,CA,60.7522,-137.5108,67.95,45,27,4.61,scattered clouds
154,Mecca,SA,21.4267,39.8261,88.11,22,3,7.25,clear sky
155,Tuatapere,NZ,-46.1333,167.6833,41.54,88,80,11.23,light rain
156,Saldanha,ZA,-33.0117,17.9442,55.45,45,0,22.37,clear sky
157,Mount Isa,AU,-20.7333,139.5,51.57,100,100,10.36,light rain
158,Yagodnoye,RU,62.55,149.6667,70.9,47,64,4.88,broken clouds
159,Port Moresby,PG,-9.4431,147.1797,72.82,94,20,3.44,haze
160,Nanortalik,GL,60.1432,-45.2371,43.36,77,84,10.38,broken clouds
161,Oulainen,FI,64.2667,24.8,62.82,55,0,3.83,clear sky
162,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,21.85,light intensity drizzle
163,Salalah,OM,17.0151,54.0924,80.44,87,100,9.24,overcast clouds
164,Carlos Chagas,BR,-17.7031,-40.7664,71.78,61,11,12.91,few clouds
165,Qaqortoq,GL,60.7167,-46.0333,44.91,73,93,1.7,overcast clouds
166,New Norfolk,AU,-42.7826,147.0587,38.7,86,11,1.01,few clouds
167,Mahebourg,MU,-20.4081,57.7,68.29,88,75,5.75,broken clouds
168,Yarmouth,US,41.7057,-70.2286,79.27,51,0,6.91,clear sky
169,Hurghada,EG,27.2574,33.8129,89.64,23,0,5.75,clear sky
170,Rochegda,RU,62.8,43.25,48.07,64,37,2.71,scattered clouds
171,Dicabisagan,PH,17.0818,122.4157,80.33,83,100,8.81,overcast clouds
172,Banyo,CM,6.75,11.8167,65.62,96,100,2.48,overcast clouds
173,Vao,NC,-22.6667,167.4833,69.1,69,100,15.97,overcast clouds
174,Serowe,BW,-22.3833,26.7167,54.45,72,85,7.63,overcast clouds
175,Iralaya,HN,15.0,-83.2333,82.85,73,99,10.07,overcast clouds
176,Pahrump,US,36.2083,-115.9839,103.24,12,0,5.99,clear sky
177,Talara,PE,-4.5772,-81.2719,74.16,60,0,16.11,clear sky
178,Okhotsk,RU,59.3833,143.3,58.71,87,100,3.65,overcast clouds
179,Asau,RO,46.4333,26.4,63.52,73,64,3.2,broken clouds
180,Alofi,NU,-19.0595,-169.9187,80.49,78,75,9.22,broken clouds
181,Mpulungu,ZM,-8.7623,31.1141,68.68,64,6,13.56,clear sky
182,Rochester,US,43.1548,-77.6156,87.94,53,75,13.8,broken clouds
183,Hofn,IS,64.2539,-15.2082,51.78,89,91,4.97,overcast clouds
184,Noyabrsk,RU,63.1994,75.4507,55.56,62,95,23.98,overcast clouds
185,Khasan,RU,42.4308,130.6434,59.74,97,100,4.61,overcast clouds
186,West Mifflin,US,40.3634,-79.8664,90.3,36,0,8.05,clear sky
187,Acarau,BR,-2.8856,-40.12,78.98,81,3,15.26,clear sky
188,Wahiawa,US,21.5028,-158.0236,80.92,60,20,16.11,few clouds
189,Saint-Philippe,RE,-21.3585,55.7679,66.22,69,68,10.04,broken clouds
