City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carnarvon,AU,2022-06-30 04:42:45,-24.8667,113.6333,70.23,32,0,18.5
1,Muzhi,RU,2022-06-30 04:42:46,65.3667,64.6667,52.57,52,99,17.18
2,Vaini,TO,2022-06-30 04:42:46,-21.2,-175.2,80.76,83,75,6.91
3,Thompson,CA,2022-06-30 04:42:17,55.7435,-97.8558,48.36,100,40,2.3
4,Mata,PT,2022-06-30 04:42:47,40.683,-7.4592,44.92,95,61,1.63
5,Ushuaia,AR,2022-06-30 04:41:34,-54.8,-68.3,31.66,64,0,3.44
6,Verkhoyansk,RU,2022-06-30 04:42:47,67.5447,133.385,69.57,35,70,7.9
7,Guerrero Negro,MX,2022-06-30 04:42:47,27.9769,-114.0611,71.06,78,0,17.11
8,Hualmay,PE,2022-06-30 04:42:48,-11.0964,-77.6139,61.72,85,7,9.35
9,Erzin,TR,2022-06-30 04:42:48,36.9559,36.2,77.67,70,4,2.48
10,Hermanus,ZA,2022-06-30 04:42:49,-34.4187,19.2345,59.74,54,2,8.68
11,Upernavik,GL,2022-06-30 04:42:49,72.7868,-56.1549,35.08,88,100,5.57
12,Tacuarembo,UY,2022-06-30 04:42:49,-31.7333,-55.9833,45.88,92,99,4.88
13,Sale,MA,2022-06-30 04:41:43,34.0389,-6.8166,66.88,77,75,5.75
14,Mana,GF,2022-06-30 04:42:50,5.6592,-53.7767,72.32,94,100,1.92
15,Pontevedra,ES,2022-06-30 04:41:20,42.431,-8.6444,57.15,84,100,3.11
16,Whitley Bay,GB,2022-06-30 04:42:50,55.0397,-1.4471,56.19,96,95,5.23
17,Arraial Do Cabo,BR,2022-06-30 04:41:07,-22.9661,-42.0278,70.52,88,1,19.3
18,Batemans Bay,AU,2022-06-30 04:42:51,-35.7167,150.1833,60.91,52,81,5.53
19,Sao Filipe,CV,2022-06-30 04:42:51,14.8961,-24.4956,72.18,79,57,6.35
20,New Norfolk,AU,2022-06-30 04:42:51,-42.7826,147.0587,51.71,69,68,3.0
21,Mar Del Plata,AR,2022-06-30 04:42:52,-38.0023,-57.5575,50.02,82,0,6.91
22,Kirakira,SB,2022-06-30 04:42:52,-10.4544,161.9205,83.16,77,28,13.33
23,Ornskoldsvik,SE,2022-06-30 04:41:14,63.2909,18.7153,70.75,83,66,3.44
24,Port Alfred,ZA,2022-06-30 04:39:43,-33.5906,26.891,60.84,37,24,7.99
25,Saint Cloud,US,2022-06-30 04:39:10,45.5608,-94.1625,84.87,46,0,14.97
26,Yellowknife,CA,2022-06-30 04:42:53,62.456,-114.3525,57.72,51,20,3.44
27,Dikson,RU,2022-06-30 04:42:53,73.5069,80.5464,32.27,94,100,7.85
28,Kargil,IN,2022-06-30 04:42:54,34.5667,76.1,69.46,24,0,2.82
29,Ternate,ID,2022-06-30 04:41:10,0.8,127.4,87.55,60,11,2.01
30,Lazaro Cardenas,MX,2022-06-30 04:38:40,17.9583,-102.2,79.02,80,53,2.06
31,Mehamn,NO,2022-06-30 04:42:54,71.0357,27.8492,53.55,87,75,10.36
32,Jamestown,US,2022-06-30 04:38:21,42.097,-79.2353,62.24,83,0,1.01
33,North Bend,US,2022-06-30 04:42:55,43.4065,-124.2243,57.85,97,100,9.22
34,Komsomolskiy,UZ,2022-06-30 04:42:55,40.4272,71.7189,93.92,22,0,0.0
35,Arman,RU,2022-06-30 04:42:55,59.7,150.1667,73.02,77,100,7.11
36,Bandundu,CD,2022-06-30 04:42:56,-3.3167,17.3667,68.38,48,63,3.09
37,Cape Town,ZA,2022-06-30 04:42:56,-33.9258,18.4232,63.12,63,0,4.0
38,Atuona,PF,2022-06-30 04:42:57,-9.8,-139.0333,77.68,71,78,18.43
39,Matara,LK,2022-06-30 04:42:57,5.9485,80.5353,82.85,80,43,15.28
40,Belaya Gora,RU,2022-06-30 04:42:57,68.5333,146.4167,65.32,34,66,7.16
41,Constitucion,CL,2022-06-30 04:42:58,-35.3333,-72.4167,49.08,87,100,6.58
42,Morro Bay,US,2022-06-30 04:41:16,35.3658,-120.8499,66.94,87,19,1.99
43,Albany,US,2022-06-30 04:42:58,42.6001,-73.9662,62.06,81,30,4.09
44,Puerto Ayora,EC,2022-06-30 04:42:58,-0.7393,-90.3518,69.55,93,72,10.0
45,Punta Arenas,CL,2022-06-30 04:42:59,-53.15,-70.9167,30.31,100,40,6.91
46,Castro,BR,2022-06-30 04:42:59,-24.7911,-50.0119,45.34,82,0,0.67
47,Bilma,NE,2022-06-30 04:43:00,18.6853,12.9164,84.74,37,3,11.3
48,Iqaluit,CA,2022-06-30 04:43:00,63.7506,-68.5145,42.53,75,75,6.91
49,Tasiilaq,GL,2022-06-30 04:43:01,65.6145,-37.6368,37.56,94,94,6.78
50,Castlegar,CA,2022-06-30 04:38:32,49.2998,-117.6689,59.99,68,51,4.34
51,Ust-Maya,RU,2022-06-30 04:43:02,60.4167,134.5333,80.58,52,99,8.16
52,Mubi,NG,2022-06-30 04:43:03,10.2676,13.2644,73.8,78,99,3.2
53,Kruisfontein,ZA,2022-06-30 04:43:03,-34.0033,24.7314,54.39,43,10,7.85
54,Bluff,NZ,2022-06-30 04:43:04,-46.6,168.3333,45.81,67,99,25.99
55,Hobart,AU,2022-06-30 04:39:30,-42.8794,147.3294,52.05,61,75,10.36
56,Toccoa,US,2022-06-30 04:43:04,34.5773,-83.3324,73.81,95,40,0.0
57,Vestmannaeyjar,IS,2022-06-30 04:43:05,63.4427,-20.2734,51.6,90,100,13.76
58,Muisne,EC,2022-06-30 04:43:05,0.6,-80.0333,74.93,88,100,7.92
59,Kefamenanu,ID,2022-06-30 04:43:05,-9.4467,124.4781,72.91,92,100,3.0
60,Bud,US,2022-06-30 04:43:06,39.447,-86.1758,71.62,72,0,4.16
61,Esperance,AU,2022-06-30 04:43:06,-33.8667,121.9,59.54,57,86,9.91
62,Daru,PG,2022-06-30 04:43:07,-9.0763,143.2092,82.99,76,24,10.47
63,La Esperanza,GT,2022-06-30 04:43:07,14.8667,-91.5667,55.08,96,56,6.87
64,Kapaa,US,2022-06-30 04:38:49,22.0752,-159.319,84.18,73,75,19.57
65,Provideniya,RU,2022-06-30 04:43:08,64.3833,-173.3,48.36,81,75,11.18
66,Tierranueva,MX,2022-06-30 04:43:08,21.6833,-100.5667,59.79,94,100,5.41
67,Rikitea,PF,2022-06-30 04:43:08,-23.1203,-134.9692,68.95,79,100,19.66
68,Bembereke,BJ,2022-06-30 04:43:09,10.2283,2.6634,67.95,97,100,7.38
69,East London,ZA,2022-06-30 04:43:09,-33.0153,27.9116,54.54,58,0,10.36
70,Ler,SS,2022-06-30 04:43:09,8.3018,30.1418,74.16,75,52,4.83
71,Arawa,PG,2022-06-30 04:43:10,-6.2132,155.5367,87.3,61,74,6.73
72,Kuldur,RU,2022-06-30 04:43:10,49.2167,131.6333,83.55,37,28,6.96
73,Warrnambool,AU,2022-06-30 04:43:11,-38.3833,142.4833,55.81,87,98,6.89
74,Mataura,NZ,2022-06-30 04:43:11,-46.1927,168.8643,45.48,95,100,8.63
75,Katsina,NG,2022-06-30 04:43:11,12.9894,7.6006,79.3,52,93,6.62
